timestamp,TP9,AF7,AF8,TP10
1789996884.415261,0.000,0.000,-0.488,0.000
1789996884.419120,-0.488,-0.488,0.000,-0.488
1789996884.422980,-0.977,-1.953,-0.488,0.000
1789996884.426839,1.465,3.906,-1.465,-0.488
1789996884.430699,-10.742,-23.926,9.766,-3.418
1789996884.434558,-25.879,-52.246,-11.719,0.000
1789996884.438418,-32.715,-43.457,-31.250,-2.441
1789996884.442277,-42.969,-58.594,-18.555,-12.695
1789996884.446137,-31.738,-64.941,-15.625,-12.695
1789996884.449997,-29.785,-54.199,-16.113,-4.883
1789996884.453856,-47.852,-50.781,-13.672,-15.625
1789996884.457716,-48.828,-56.641,-19.531,-19.043
1789996884.460731,-30.273,-58.105,-17.090,-11.719
1789996884.464520,-16.113,-49.805,-18.066,-16.602
1789996884.468310,-27.344,-40.527,-20.020,-19.043
1789996884.472099,-27.832,-35.645,-16.602,-19.043
1789996884.475888,-19.531,-41.016,-17.090,-4.395
1789996884.479677,-15.137,-38.574,-22.461,4.395
1789996884.483466,-29.785,-30.762,-21.484,-3.906
1789996884.487256,-50.293,-31.738,-31.250,-22.461
1789996884.491045,-35.645,-39.551,-55.176,-26.855
1789996884.494834,-14.160,-43.457,-45.898,-31.738
1789996884.498623,-28.320,-45.410,-37.109,-34.180
1789996884.502412,-46.875,-47.852,-35.645,-30.273
1789996884.503764,-43.457,-42.969,-35.645,-26.855
1789996884.507452,-26.367,-39.551,-28.809,-13.184
1789996884.511139,-32.715,-40.039,-20.020,-16.602
1789996884.514827,-47.363,-33.691,-26.367,-19.531
1789996884.518514,-48.340,-35.156,-41.992,-20.508
1789996884.522202,-42.480,-44.922,-41.504,-22.949
1789996884.525890,-24.414,-33.691,-33.203,-13.672
1789996884.529577,-29.785,-25.879,-31.738,-26.855
1789996884.533265,-45.898,-33.691,-32.227,-34.180
1789996884.536953,-34.180,-36.621,-45.898,-30.273
1789996884.540640,-22.461,-37.109,-54.199,-36.133
1789996884.544328,-39.062,-41.504,-38.086,-46.387
1789996884.544112,-58.594,-40.527,-50.293,-51.270
1789996884.547691,-43.457,-40.527,-52.734,-37.598
1789996884.551270,-24.902,-40.039,-42.969,-29.297
1789996884.554849,-31.250,-28.809,-44.922,-37.109
