timestamp,TP9,AF7,AF8,TP10
1789993444.171038,0.000,0.000,0.000,0.000
1789993444.174897,0.000,0.000,-0.488,0.000
1789993444.178757,-0.977,-0.977,-0.488,-1.465
1789993444.182617,0.000,1.953,-1.465,2.441
1789993444.186476,-2.441,-11.719,0.488,-13.184
1789993444.190336,-29.785,-29.297,-30.273,-36.621
1789993444.194195,-43.945,-26.367,-51.758,-34.668
1789993444.198055,-22.949,-25.879,-38.086,-33.203
1789993444.201914,-8.789,-29.297,-37.598,-29.785
1789993444.205774,-31.738,-34.668,-46.875,-30.273
1789993444.209634,-55.664,-34.180,-46.387,-40.527
1789993444.213493,-43.457,-31.250,-39.551,-39.062
1789993444.216484,-20.508,-34.668,-37.109,-21.484
1789993444.220272,-25.391,-34.180,-37.109,-33.203
1789993444.224059,-45.898,-34.180,-44.434,-53.223
1789993444.227846,-49.805,-40.527,-40.039,-48.828
1789993444.231633,-20.996,-37.109,-32.715,-31.738
1789993444.235420,-11.230,-28.809,-31.250,-27.344
1789993444.239208,-46.875,-32.227,-36.621,-39.062
1789993444.242995,-56.152,-32.227,-37.109,-34.180
1789993444.246782,-42.480,-39.551,-38.086,-34.180
1789993444.250569,-37.598,-47.852,-41.016,-49.316
1789993444.254356,-51.758,-45.898,-45.898,-62.500
1789993444.258144,-61.035,-43.457,-45.898,-66.895
1789993444.260633,-49.805,-35.645,-38.086,-50.781
1789993444.264367,-30.762,-34.180,-36.133,-32.227
1789993444.268100,-37.598,-31.250,-39.551,-41.016
1789993444.271833,-58.105,-27.832,-37.109,-49.316
1789993444.275566,-47.852,-30.273,-34.180,-41.016
1789993444.279299,-21.973,-24.414,-37.109,-22.949
1789993444.283032,-24.414,-21.484,-37.109,-17.090
1789993444.286765,-48.340,-31.738,-42.480,-31.250
1789993444.290498,-58.594,-32.227,-45.898,-34.180
1789993444.294232,-39.062,-23.438,-36.621,-37.598
1789993444.297965,-30.273,-26.367,-40.527,-52.734
1789993444.301698,-52.246,-34.668,-48.340,-68.848
1789993444.301368,-63.965,-46.875,-48.828,-72.266
1789993444.304988,-50.293,-46.875,-47.852,-49.316
1789993444.308608,-36.621,-38.574,-51.758,-37.109
1789993444.312228,-44.434,-34.668,-47.363,-29.785
1789993444.315849,-49.805,-41.504,-37.598,-40.527
1789993444.319469,-47.363,-48.828,-45.410,-53.223
1789993444.323089,-33.691,-48.340,-51.758,-51.758
1789993444.326710,-33.691,-38.574,-42.969,-48.340
1789993444.330330,-52.734,-21.973,-36.133,-36.621
1789993444.333950,-42.480,-28.320,-40.527,-20.508
1789993444.337570,-15.137,-41.504,-33.691,-2.930
1789993444.341191,-37.109,-39.062,-32.227,-27.344
1789993444.342267,-72.754,-36.133,-35.156,-57.617
1789993444.345834,-67.871,-40.039,-27.832,-54.199
1789993444.349402,-50.293,-43.457,-20.508,-45.898
1789993444.352969,-47.363,-41.016,-21.484,-35.156
1789993444.356536,-71.289,-45.410,-22.461,-38.574
1789993444.360104,-72.754,-44.434,-20.508,-50.293
1789993444.363671,-48.340,-37.598,-21.484,-46.387
1789993444.367238,-28.320,-31.738,-19.043,-35.156
1789993444.370806,-44.434,-27.832,-20.508,-40.527
1789993444.374373,-76.660,-36.621,-24.414,-47.363
1789993444.377940,-70.312,-45.410,-26.367,-43.457
1789993444.381507,-42.969,-48.340,-31.738,-29.297
1789993444.382464,-47.363,-41.504,-35.156,-22.949
1789993444.385988,-65.918,-33.691,-35.645,-50.781
1789993444.389512,-52.734,-29.297,-29.785,-49.805
1789993444.393035,-30.762,-31.250,-27.832,-22.461
1789993444.396559,-31.250,-36.621,-38.086,-21.973
1789993444.400083,-57.617,-27.832,-38.086,-28.320
1789993444.403607,-58.594,-24.414,-35.645,-35.156
1789993444.407130,-37.598,-32.227,-30.273,-26.855
1789993444.410654,-28.809,-30.273,-25.879,-18.066
1789993444.414178,-41.992,-27.344,-28.809,-40.527
1789993444.417702,-54.199,-30.762,-34.668,-45.410
1789993444.421226,-43.945,-33.691,-33.691,-28.320
1789993444.424345,-31.250,-34.668,-41.992,-23.926
1789993444.427863,-41.504,-38.574,-66.406,-23.926
1789993444.431381,-52.246,-39.062,-74.707,-24.902
1789993444.434900,-43.945,-35.645,-73.730,-29.297
1789993444.438418,-23.926,-32.227,-69.336,-28.320
1789993444.441936,-26.855,-20.020,-65.918,-32.227
1789993444.445454,-53.711,-20.996,-75.684,-40.527
