timestamp,TP9,AF7,AF8,TP10
1789911891.164630,-0.488,0.000,0.000,0.000
1789911891.168490,0.000,0.000,-0.488,0.000
1789911891.172350,-0.488,-0.977,-0.488,-1.465
1789911891.176209,-0.977,0.977,-0.488,2.441
1789911891.180069,4.883,-6.836,-2.930,-12.207
1789911891.183928,-1.465,-21.973,-23.926,-29.297
1789911891.187788,-4.395,-22.949,-43.945,-9.277
1789911891.191648,-0.977,-23.438,-39.062,-7.324
1789911891.195507,3.906,-22.949,-34.180,-25.391
1789911891.199367,13.672,-21.973,-36.133,-20.020
1789911891.203226,16.602,-21.484,-38.574,-15.625
1789911891.207086,20.508,-21.973,-33.203,-10.742
1789911891.209814,19.531,-23.438,-30.762,-13.672
1789911891.213579,11.230,-20.996,-25.879,-35.156
1789911891.217345,9.277,-15.625,-25.879,-13.672
1789911891.221110,24.902,-8.301,-27.832,17.090
1789911891.224875,27.344,-6.348,-23.438,7.324
1789911891.228641,16.113,-9.277,-24.414,-8.301
1789911891.232406,11.230,-12.207,-24.902,-8.301
1789911891.236171,20.996,-10.742,-15.137,23.926
1789911891.239936,15.137,-12.207,-19.043,16.113
1789911891.243702,12.695,-14.160,-27.344,-16.113
1789911891.247467,23.438,-9.766,-21.484,1.465
1789911891.251232,23.438,-5.859,-21.973,15.137
1789911891.252128,10.742,-12.695,-25.391,9.766
1789911891.255774,9.766,-18.066,-25.391,-9.277
1789911891.259419,11.719,-18.555,-29.297,-18.066
1789911891.263065,12.695,-23.926,-37.109,7.812
1789911891.266711,20.020,-21.484,-32.715,31.250
1789911891.270357,24.414,-18.555,-30.273,-0.488
1789911891.274002,21.484,-26.367,-37.109,-28.809
1789911891.277648,8.789,-29.297,-34.180,-5.859
1789911891.281294,-0.488,-22.949,-33.203,1.953
1789911891.284940,13.184,-21.484,-30.273,-14.648
1789911891.288585,15.625,-18.555,-27.344,-23.438
1789911891.292231,16.113,-15.137,-28.320,-10.254
1789911891.292007,27.344,-15.625,-22.949,7.812
1789911891.295545,27.832,-13.184,-25.879,0.488
1789911891.299084,25.391,-6.348,-17.090,-7.324
1789911891.302622,28.809,-6.836,-11.230,6.836
1789911891.306160,31.250,-14.160,-21.973,12.207
1789911891.309698,25.879,-18.066,-27.832,4.883
1789911891.313236,24.414,-17.090,-26.855,1.953
1789911891.316775,19.043,-16.602,-29.785,-3.418
1789911891.320313,10.742,-23.926,-32.715,-6.348
1789911891.323851,13.672,-22.949,-37.109,0.000
1789911891.327389,9.277,-20.508,-46.387,-19.531
1789911891.330928,14.160,-21.484,-38.574,-23.926
1789911891.332636,13.184,-26.367,-36.133,-3.418
1789911891.336136,0.000,-27.344,-46.875,-2.441
1789911891.339637,-5.859,-25.879,-41.992,-20.508
1789911891.343137,6.348,-21.973,-41.504,-49.805
1789911891.346637,29.785,-13.672,-45.898,-20.996
1789911891.350137,30.273,-16.602,-34.668,20.508
1789911891.353637,5.859,-27.344,-36.621,-4.395
1789911891.357137,-7.812,-34.668,-39.551,-33.203
1789911891.360637,-1.465,-34.180,-33.203,-22.949
1789911891.364137,1.465,-34.180,-34.180,-2.930
1789911891.367638,-5.859,-42.480,-28.809,-9.766
1789911891.371138,-17.090,-45.410,-29.297,-28.809
1789911891.371668,-16.113,-41.504,-25.879,-39.551
1789911891.375118,-26.367,-41.016,-23.438,-31.250
1789911891.378569,-30.273,-45.410,-23.438,-26.855
1789911891.382020,-15.137,-42.480,-15.137,-32.227
1789911891.385470,-5.859,-40.527,-16.602,-36.133
1789911891.388921,-11.230,-42.969,-15.625,-26.855
1789911891.392372,-5.859,-44.434,-20.020,-6.348
1789911891.395822,4.883,-40.039,-25.879,-4.883
1789911891.399273,4.883,-37.598,-31.250,-10.254
1789911891.402724,2.930,-40.039,-25.391,1.465
1789911891.406174,-5.371,-44.434,-26.367,7.324
1789911891.409625,-4.883,-38.086,-24.414,11.230
1789911891.412897,0.977,-27.832,-17.578,-9.277
1789911891.416345,0.000,-28.809,-20.020,-19.531
1789911891.419793,-0.977,-30.762,-15.625,4.883
1789911891.423241,0.977,-30.273,-19.043,0.000
1789911891.426689,5.859,-29.785,-23.438,-20.996
1789911891.430138,14.648,-30.273,-22.461,-27.344
1789911891.433586,13.184,-27.344,-21.484,-11.719
1789911891.437034,2.441,-25.391,-22.949,0.000
1789911891.440482,2.441,-25.879,-22.461,-5.859
1789911891.443930,6.348,-23.926,-26.367,-17.578
1789911891.447378,-8.301,-22.949,-29.785,-13.672
1789911891.450826,-11.230,-26.367,-26.855,5.371
1789911891.454681,-1.465,-29.297,-19.043,2.441
1789911891.458134,0.000,-28.320,-20.508,-8.789
1789911891.461587,-0.488,-22.461,-28.809,-10.254
1789911891.465040,7.324,-21.484,-23.438,-0.977
1789911891.468493,9.766,-23.438,-25.879,3.906
1789911891.471946,15.137,-22.461,-25.879,-10.742
1789911891.475399,21.973,-21.484,-24.414,-11.719
1789911891.478852,15.625,-21.484,-31.738,7.324
1789911891.482305,5.859,-23.926,-33.203,16.602
1789911891.485758,15.137,-24.902,-29.785,0.977
1789911891.489211,18.555,-30.762,-31.738,-11.230
1789911891.492664,15.625,-28.320,-38.086,1.953
1789911891.496864,11.230,-27.344,-36.621,14.648
1789911891.500325,4.395,-32.227,-38.574,-3.906
1789911891.503786,5.859,-33.691,-38.086,-32.715
1789911891.507247,-0.977,-33.691,-33.203,-30.273
1789911891.510708,-6.348,-33.203,-38.574,-17.090
1789911891.514168,-0.977,-35.645,-42.480,-26.367
1789911891.517629,6.348,-33.691,-42.480,-33.203
1789911891.521090,11.230,-33.203,-50.293,-7.812
1789911891.524551,13.184,-30.273,-45.410,7.812
1789911891.528011,6.348,-25.879,-32.715,-3.906
1789911891.531472,8.789,-18.555,-35.156,-12.695
1789911891.534933,17.090,-14.648,-29.297,-14.160
1789911891.539504,3.418,-18.555,-29.785,2.930
1789911891.542975,-0.488,-18.066,-37.598,1.465
1789911891.546446,8.301,-17.578,-38.086,-14.648
1789911891.549917,9.766,-22.949,-40.039,-9.766
1789911891.553388,6.836,-24.902,-32.715,-4.883
1789911891.556859,5.859,-15.625,-26.855,-1.465
1789911891.560330,14.160,-10.254,-29.297,-3.906
1789911891.563801,24.902,-12.695,-32.227,-6.836
1789911891.567272,19.043,-20.020,-35.645,-17.090
1789911891.570743,0.488,-24.414,-40.527,-21.973
1789911891.574214,0.977,-19.043,-41.992,-1.953
1789911891.577685,17.578,-19.043,-39.551,-9.766
1789911891.582432,10.254,-23.438,-40.039,-13.672
1789911891.585914,5.371,-24.902,-35.645,-3.418
1789911891.589396,16.602,-27.832,-38.574,0.000
1789911891.592877,14.648,-20.996,-40.039,-17.578
1789911891.596359,11.719,-19.043,-34.668,-37.109
1789911891.599841,11.230,-26.367,-41.992,-27.344
1789911891.603322,6.348,-23.926,-39.062,-27.344
1789911891.606804,6.836,-25.391,-37.598,-30.273
1789911891.610286,17.578,-26.367,-44.922,-29.297
1789911891.613767,11.719,-21.973,-39.551,-18.066
1789911891.617249,-1.953,-22.461,-40.039,7.812
1789911891.620731,-4.883,-29.297,-43.945,1.465
1789911891.625674,-1.953,-23.926,-41.016,-13.672
1789911891.629167,1.465,-19.043,-41.016,-12.207
1789911891.632660,7.812,-20.508,-32.715,0.977
1789911891.636153,18.555,-19.531,-31.738,0.488
1789911891.639646,16.113,-17.578,-36.133,-9.766
1789911891.643138,5.371,-19.043,-35.645,-18.555
1789911891.646631,-6.348,-22.461,-38.574,-2.441
1789911891.650124,-4.883,-25.391,-40.039,1.465
1789911891.653617,-7.812,-25.391,-43.945,-20.020
1789911891.657109,-0.488,-20.508,-42.480,-15.625
1789911891.660602,-4.395,-23.926,-38.574,-17.090
1789911891.664095,-0.488,-24.414,-40.527,-10.254
1789911891.669219,8.301,-19.531,-44.434,-9.766
1789911891.672723,0.977,-16.113,-41.992,-26.367
1789911891.676227,4.395,-15.137,-39.062,-25.391
1789911891.679731,-3.418,-17.090,-42.480,-14.648
1789911891.683235,-7.324,-20.508,-41.504,-1.953
1789911891.686739,1.465,-20.020,-42.969,-7.324
1789911891.690243,-5.371,-22.949,-37.109,-20.996
1789911891.693747,-3.906,-29.297,-36.621,-16.602
1789911891.697251,3.418,-26.855,-46.875,-8.301
1789911891.700755,5.859,-23.438,-41.992,-10.254
1789911891.704259,9.277,-15.137,-34.668,1.465
1789911891.707763,7.324,-14.160,-32.227,7.812
1789911891.712936,16.113,-13.672,-30.273,7.324
1789911891.716451,13.184,-13.184,-30.273,-2.930
1789911891.719966,15.137,-17.578,-34.668,-13.184
1789911891.723480,11.230,-16.113,-40.527,-5.371
1789911891.726995,3.906,-20.020,-42.969,-2.441
1789911891.730510,19.043,-23.926,-36.133,3.906
1789911891.734025,27.832,-19.531,-38.086,2.441
1789911891.737540,25.879,-21.973,-39.551,-16.602
1789911891.741054,14.648,-27.344,-39.551,-17.090
1789911891.744569,6.348,-26.367,-43.457,-19.043
1789911891.748084,2.930,-27.832,-45.898,-26.855
