timestamp,TP9,AF7,AF8,TP10
1789912353.105426,0.000,-0.488,0.000,0.000
1789912353.109286,-0.488,-0.488,0.000,0.000
1789912353.113145,-0.977,0.488,-0.977,-3.906
1789912353.117005,0.977,-1.465,0.977,7.324
1789912353.120864,-10.254,6.348,-8.789,-43.457
1789912353.124724,-28.809,16.602,-32.227,-118.164
1789912353.128583,-37.598,13.672,-41.016,-126.465
1789912353.132443,-43.945,8.301,-40.527,-119.141
1789912353.136303,-37.598,8.789,-38.086,-105.469
1789912353.140162,-22.949,16.602,-29.785,-103.516
1789912353.144022,-28.809,18.555,-32.227,-104.980
1789912353.147882,-31.738,11.719,-31.738,-105.469
1789912353.150608,-22.949,16.113,-23.438,-86.914
1789912353.154373,-27.832,19.043,-33.203,-99.609
1789912353.158138,-40.039,14.648,-35.645,-131.836
1789912353.161903,-45.898,15.625,-35.645,-133.301
1789912353.165668,-40.039,12.207,-42.969,-121.094
1789912353.169434,-26.367,14.160,-43.457,-117.676
1789912353.173199,-29.785,17.578,-43.945,-116.699
1789912353.176964,-46.875,15.137,-48.340,-104.492
1789912353.180729,-59.082,20.996,-45.898,-103.516
1789912353.184494,-55.176,16.113,-37.598,-113.770
1789912353.188259,-37.598,1.465,-26.367,-104.492
1789912353.192024,-23.926,10.254,-22.461,-107.422
1789912353.192934,-19.531,11.230,-28.320,-112.793
1789912353.196580,-31.250,6.348,-23.926,-93.262
1789912353.200226,-42.969,6.348,-21.973,-103.027
1789912353.203872,-44.922,5.859,-23.438,-115.723
1789912353.207518,-37.598,9.277,-24.414,-96.191
1789912353.211164,-30.762,6.348,-25.879,-90.332
1789912353.214811,-33.203,8.301,-28.809,-95.703
1789912353.218457,-41.016,15.137,-27.344,-93.750
1789912353.222103,-52.734,14.160,-26.367,-85.449
1789912353.225749,-56.152,10.254,-27.344,-81.543
1789912353.229395,-53.711,10.254,-25.879,-89.355
1789912353.233041,-56.152,14.160,-24.414,-83.496
1789912353.232766,-50.293,12.207,-18.555,-75.684
1789912353.236303,-35.156,13.672,-17.578,-83.008
1789912353.239841,-39.062,17.578,-21.484,-88.867
1789912353.243378,-51.758,8.301,-22.949,-82.031
1789912353.246915,-41.992,5.371,-24.902,-84.961
1789912353.250452,-39.062,14.160,-24.414,-92.773
1789912353.253989,-49.316,16.113,-20.020,-83.008
1789912353.257527,-45.410,15.137,-23.926,-79.102
1789912353.261064,-37.598,14.648,-27.832,-89.355
1789912353.264601,-36.133,11.230,-25.879,-83.496
1789912353.268138,-35.156,12.207,-24.414,-75.195
1789912353.271675,-30.762,10.254,-24.902,-78.613
1789912353.271450,-20.996,10.254,-21.973,-71.289
1789912353.274909,-25.879,9.766,-18.555,-59.082
1789912353.278368,-27.832,1.953,-26.367,-62.988
1789912353.281827,-28.320,-1.953,-27.832,-72.266
1789912353.285285,-38.574,0.000,-23.926,-70.801
1789912353.288744,-35.156,2.930,-26.367,-68.359
1789912353.292203,-41.992,1.953,-28.320,-64.941
1789912353.295662,-52.734,4.395,-28.809,-66.895
1789912353.299121,-51.758,-2.441,-26.367,-72.266
1789912353.302580,-47.852,-5.859,-20.508,-65.430
1789912353.306039,-33.691,1.953,-18.555,-75.684
1789912353.309497,-25.391,5.859,-17.578,-81.055
1789912353.310106,-49.316,3.906,-15.625,-69.336
1789912353.313517,-53.711,1.953,-16.113,-65.430
1789912353.316929,-47.363,2.441,-16.113,-71.289
1789912353.320340,-61.035,-3.906,-24.902,-74.219
1789912353.323751,-56.152,-5.859,-27.832,-68.848
1789912353.327163,-51.270,-5.371,-23.438,-67.383
1789912353.330574,-55.176,-8.789,-26.855,-69.824
1789912353.333985,-50.293,-5.859,-27.344,-61.035
1789912353.337397,-44.434,3.906,-18.555,-56.641
1789912353.340808,-52.246,3.418,-17.090,-62.012
1789912353.344219,-52.734,4.883,-16.113,-60.059
1789912353.347631,-34.180,16.602,-5.859,-52.246
1789912353.351345,-15.625,20.508,-0.488,-40.039
1789912353.354760,-20.020,20.020,-0.488,-31.738
1789912353.358176,-31.250,14.648,-1.953,-24.902
1789912353.361591,-30.762,8.301,5.859,-31.250
