timestamp,TP9,AF7,AF8,TP10
1789911307.875936,0.000,0.000,-0.488,0.000
1789911307.879795,-0.488,0.000,-0.488,-0.488
1789911307.883655,-1.953,-1.465,2.930,-1.465
1789911307.887514,7.324,1.953,-15.137,3.418
1789911307.891374,-33.203,-12.695,61.523,-18.066
1789911307.895234,-31.250,-33.203,15.625,-20.020
1789911307.899093,47.363,-28.320,-82.520,11.230
1789911307.902953,-2.930,-26.855,-25.879,0.488
1789911307.906812,-76.660,-29.297,-20.508,-29.297
1789911307.910672,-39.062,-23.926,-19.043,-28.809
1789911307.914532,46.875,-20.508,-13.184,2.930
1789911307.918391,26.855,-24.902,-12.207,-3.418
1789911307.921177,0.000,-23.438,-12.207,-23.926
1789911307.924947,0.000,-21.973,-18.555,-17.578
1789911307.928717,0.000,-24.902,-25.879,-7.324
1789911307.932487,0.000,-23.926,-23.926,-4.395
1789911307.936258,0.000,-28.809,-26.367,-38.086
1789911307.940028,0.000,-41.504,-33.203,-46.387
1789911307.943798,0.000,-46.875,-23.438,2.441
1789911307.947568,0.000,-34.668,-18.066,14.648
1789911307.951338,0.000,-22.949,-32.227,-49.316
1789911307.955108,0.000,-40.039,-37.109,-70.801
1789911307.958878,0.000,-42.480,-36.621,-52.246
1789911307.962648,0.000,-32.715,-32.715,-35.156
1789911307.964602,-53.223,-35.645,-38.086,-52.734
1789911307.968296,-134.277,-32.715,-35.645,-93.262
1789911307.971991,-97.168,-25.391,-31.738,-83.496
1789911307.975685,-13.672,-28.809,-14.648,-48.340
1789911307.979380,-16.113,-29.785,-17.578,-37.109
1789911307.983074,-86.426,-24.414,-43.457,-54.199
1789911307.986768,-86.426,-24.902,-36.133,-51.758
1789911307.990463,-10.254,-19.531,-27.832,-28.809
1789911307.994157,29.297,-18.555,-27.344,-13.184
1789911307.997852,-59.570,-23.438,-29.297,-42.480
1789911308.001546,-86.914,-22.461,-27.832,-61.035
1789911308.005241,-11.719,-20.508,-25.391,-29.297
1789911308.005568,32.715,-25.391,-28.809,-12.695
1789911308.009169,-29.297,-27.832,-33.203,-24.902
1789911308.012770,-96.191,-29.785,-31.250,-37.109
1789911308.016371,-45.410,-27.344,-33.691,-45.410
1789911308.019972,43.457,-20.508,-30.762,-19.043
1789911308.023572,-1.953,-23.926,-33.203,-19.531
1789911308.027174,-92.773,-28.809,-33.203,-59.570
1789911308.030774,-69.824,-26.855,-33.203,-61.035
1789911308.034375,19.043,-29.785,-38.574,-20.508
1789911308.037976,31.738,-20.508,-25.391,1.465
1789911308.041577,-62.012,-21.484,-29.785,-31.738
1789911308.045178,-92.285,-40.527,-25.879,-47.363
1789911308.046440,-6.836,-36.133,-21.484,-24.902
1789911308.049993,44.434,-31.738,-42.969,-6.348
1789911308.053545,-43.457,-35.156,-40.039,-23.438
1789911308.057097,-84.961,-37.109,-41.504,-41.016
1789911308.060649,-27.344,-36.133,-41.504,-45.898
1789911308.064201,43.945,-27.832,-34.180,-15.625
1789911308.067754,-9.766,-33.203,-38.086,-13.672
