timestamp,TP9,AF7,AF8,TP10
1789912766.161416,0.000,0.000,0.000,0.000
1789912766.165275,0.000,0.000,0.000,0.000
1789912766.169135,0.000,-1.465,-1.465,-2.441
1789912766.172994,0.000,2.441,1.465,4.883
1789912766.176854,0.000,-13.672,-11.719,-30.762
1789912766.180714,0.000,-41.992,-40.527,-76.172
1789912766.184573,0.000,-47.363,-49.805,-80.566
1789912766.188433,0.000,-41.504,-45.898,-88.379
1789912766.192292,0.000,-39.062,-42.969,-104.492
1789912766.196152,0.000,-36.621,-41.016,-102.539
1789912766.200012,0.000,-27.832,-37.109,-72.266
1789912766.203871,0.000,-37.598,-39.062,-63.965
1789912766.206988,-41.992,-42.969,-44.434,-65.430
1789912766.210785,-42.480,-39.062,-48.340,-74.707
1789912766.214583,-26.367,-43.457,-52.246,-77.148
1789912766.218381,-33.203,-40.039,-52.246,-76.660
1789912766.222178,-43.945,-36.621,-52.246,-93.262
1789912766.225976,-38.086,-41.016,-52.246,-104.980
1789912766.229774,-27.832,-40.527,-52.734,-94.727
1789912766.233571,-34.180,-36.133,-53.711,-90.332
1789912766.237369,-64.941,-37.598,-53.711,-101.562
1789912766.241167,-69.336,-37.598,-55.664,-111.328
1789912766.244964,-53.223,-34.180,-53.711,-100.586
1789912766.248762,-52.734,-34.180,-54.688,-96.680
1789912766.249830,-61.035,-34.668,-49.805,-120.117
1789912766.253515,-69.824,-38.086,-47.363,-126.465
1789912766.257198,-55.664,-40.527,-51.758,-108.887
1789912766.260882,-34.668,-36.133,-54.199,-92.285
1789912766.264566,-48.828,-31.738,-52.734,-87.891
1789912766.268250,-57.129,-33.691,-52.246,-93.750
1789912766.271934,-56.152,-33.203,-51.270,-94.238
1789912766.275618,-63.965,-34.180,-50.781,-100.586
1789912766.279302,-62.500,-42.969,-50.781,-110.840
1789912766.282986,-64.941,-51.758,-55.664,-117.676
1789912766.286670,-71.777,-52.246,-59.570,-123.535
1789912766.290354,-68.848,-49.805,-56.152,-121.094
1789912766.289889,-70.801,-50.293,-60.059,-125.977
1789912766.293458,-61.523,-45.410,-58.105,-121.582
1789912766.297026,-59.570,-46.387,-55.664,-110.352
1789912766.300595,-58.594,-53.223,-60.547,-111.328
1789912766.304164,-50.293,-49.805,-59.082,-113.770
1789912766.307733,-57.617,-52.734,-59.570,-121.094
1789912766.311301,-53.223,-53.711,-58.594,-110.352
1789912766.314870,-52.734,-49.316,-61.035,-94.727
1789912766.318439,-44.922,-42.480,-58.105,-105.957
1789912766.322007,-43.457,-44.434,-52.246,-110.352
1789912766.325576,-59.082,-49.316,-50.781,-110.352
1789912766.329145,-53.223,-42.969,-46.387,-108.887
1789912766.328840,0.000,-42.969,-41.992,-102.539
1789912766.332328,0.000,-45.898,-43.945,-117.188
1789912766.335816,0.000,-42.480,-46.387,-136.719
1789912766.339304,0.000,-39.062,-44.434,-121.582
1789912766.342792,0.000,-34.668,-49.805,-114.258
1789912766.346280,0.000,-34.180,-48.828,-116.211
1789912766.349768,0.000,-38.574,-38.086,-100.586
1789912766.353256,0.000,-42.480,-38.086,-99.609
1789912766.356744,0.000,-41.992,-44.434,-112.305
1789912766.360232,0.000,-38.086,-39.551,-109.375
1789912766.363720,0.000,-34.180,-30.273,-102.539
1789912766.367208,0.000,-25.879,-22.461,-101.562
1789912766.367647,-24.902,-25.391,-20.508,-89.355
1789912766.371084,-19.531,-26.367,-19.531,-76.660
1789912766.374521,-20.020,-21.973,-16.602,-72.754
1789912766.377959,-28.320,-25.391,-19.043,-80.566
1789912766.381396,-20.508,-25.391,-17.578,-83.008
1789912766.384833,6.836,-16.113,-12.207,-67.383
1789912766.388270,-5.371,-10.254,-12.207,-71.289
1789912766.391707,-19.043,-16.602,-16.113,-90.820
1789912766.395145,-0.488,-13.672,-15.625,-88.867
1789912766.398582,12.207,-5.371,-10.254,-63.965
1789912766.402019,5.859,-8.301,-7.812,-56.152
1789912766.405456,-4.395,-5.371,-6.836,-70.312
1789912766.410884,-1.465,0.977,-5.859,-69.824
1789912766.414349,1.465,-1.465,-7.812,-59.082
1789912766.417814,0.000,-8.301,-7.324,-56.641
1789912766.421278,-13.184,-12.695,-8.789,-70.312
1789912766.424743,-8.789,-10.742,-7.812,-71.777
1789912766.428208,7.324,-5.859,-3.906,-52.734
1789912766.431673,8.789,-8.301,-5.371,-53.711
1789912766.435138,-2.930,-5.371,-3.418,-62.988
1789912766.438602,-21.484,-8.789,-7.812,-63.477
1789912766.442067,-13.672,-13.672,-14.648,-52.246
1789912766.445532,3.418,-11.719,-14.160,-62.012
1789912766.448997,0.000,-18.555,-16.113,-81.543
1789912766.452424,-4.395,-21.484,-16.113,-78.613
1789912766.455888,-14.160,-15.137,-14.648,-73.730
1789912766.459352,-23.438,-20.996,-22.949,-83.496
1789912766.462817,-20.508,-27.832,-26.855,-85.938
1789912766.466281,-24.902,-20.996,-23.438,-78.125
1789912766.469745,-24.414,-16.113,-25.879,-84.473
1789912766.473210,-17.090,-15.137,-26.367,-83.496
1789912766.476674,-15.137,-17.578,-25.879,-71.289
1789912766.480139,-12.695,-20.508,-32.227,-82.520
1789912766.483603,-19.531,-23.926,-39.551,-104.004
1789912766.487067,-65.430,-26.855,-38.574,-98.633
1789912766.490532,-117.188,-26.367,-41.992,-90.820
1789912766.496516,-140.625,-25.879,-42.480,-91.797
1789912766.500007,-140.625,-26.855,-40.039,-94.238
1789912766.503498,-129.395,-26.855,-48.828,-104.004
1789912766.506988,-137.695,-27.832,-49.316,-102.051
1789912766.510479,-155.762,-30.762,-47.852,-97.168
1789912766.513969,-161.133,-31.738,-50.781,-112.793
1789912766.517460,-157.227,-37.598,-49.316,-121.094
1789912766.520951,-143.066,-40.527,-51.758,-113.281
1789912766.524441,-145.996,-39.062,-49.805,-107.910
1789912766.527932,-153.809,-35.156,-48.828,-113.281
1789912766.531423,-134.277,-30.273,-51.270,-120.605
1789912766.534913,-118.164,-31.250,-52.734,-118.652
1789912766.539016,-118.164,-35.156,-59.570,-111.816
1789912766.542512,-127.441,-32.715,-61.523,-111.328
1789912766.546008,-132.324,-29.785,-53.223,-118.164
1789912766.549505,-124.023,-37.109,-51.270,-112.305
1789912766.553001,-113.770,-34.180,-51.758,-117.676
1789912766.556497,-113.770,-32.227,-50.781,-134.277
1789912766.559994,-112.305,-40.039,-52.246,-129.883
1789912766.563490,-104.492,-38.574,-50.781,-123.535
1789912766.566986,-115.723,-35.645,-52.734,-119.629
1789912766.570482,-115.234,-33.203,-50.781,-111.328
1789912766.573979,-117.676,-33.203,-45.898,-109.375
1789912766.577475,-148.438,-34.668,-50.781,-107.910
1789912766.581993,0.000,-26.855,-50.293,-104.004
1789912766.585498,0.000,-22.461,-50.293,-104.492
1789912766.589002,0.000,-31.738,-49.316,-115.723
1789912766.592507,0.000,-36.133,-46.875,-123.047
1789912766.596012,0.000,-33.691,-51.758,-115.723
1789912766.599517,0.000,-33.203,-52.734,-83.984
1789912766.603022,0.000,-36.133,-50.293,-82.031
1789912766.606526,0.000,-35.156,-48.828,-118.652
1789912766.610031,0.000,-28.320,-45.898,-119.141
1789912766.613536,0.000,-24.902,-39.551,-107.910
1789912766.617041,0.000,-26.367,-39.062,-102.539
1789912766.620546,0.000,-28.320,-43.945,-105.469
1789912766.626844,-288.086,-22.461,-41.016,-107.422
1789912766.630370,-282.715,-24.902,-40.527,-107.422
1789912766.633896,-267.090,-33.203,-53.711,-105.469
1789912766.637422,-279.785,-25.879,-58.105,-105.469
1789912766.640948,-285.645,-18.555,-53.223,-114.746
1789912766.644474,-275.391,-33.203,-56.641,-114.746
1789912766.648000,-270.996,-35.645,-57.129,-94.238
1789912766.651526,-268.555,-29.297,-47.363,-82.520
1789912766.655052,-275.879,-28.809,-46.387,-94.727
1789912766.658578,-271.973,-29.785,-61.523,-113.770
1789912766.662104,-260.254,-28.809,-63.965,-104.492
1789912766.665630,-261.719,-27.344,-61.523,-97.656
1789912766.670136,0.000,-29.785,-62.012,-105.957
1789912766.673669,0.000,-34.668,-64.941,-90.332
1789912766.677202,0.000,-33.203,-78.613,-87.891
1789912766.680734,0.000,-35.156,-86.426,-103.516
1789912766.684267,0.000,-37.109,-86.426,-108.887
1789912766.687800,0.000,-37.109,-87.891,-103.516
1789912766.691333,0.000,-36.621,-87.402,-108.887
1789912766.694866,0.000,-27.832,-82.031,-101.074
1789912766.698398,0.000,-29.297,-83.984,-99.609
1789912766.701931,0.000,-31.250,-82.520,-96.191
1789912766.705464,0.000,-30.762,-82.520,-78.613
1789912766.708997,0.000,-39.551,-93.262,-103.027
1789912766.715346,-316.895,-38.086,-90.820,-122.559
1789912766.718897,-383.301,-39.551,-86.914,-110.352
1789912766.722448,-386.719,-38.574,-90.332,-104.492
1789912766.725999,-368.164,-35.156,-94.238,-104.980
1789912766.729549,-363.281,-38.574,-95.703,-102.051
1789912766.733100,-369.629,-38.574,-93.262,-95.215
1789912766.736651,-352.051,-41.992,-90.332,-93.750
1789912766.740202,-323.242,-37.598,-91.309,-87.891
1789912766.743753,-312.988,-35.156,-97.168,-86.426
1789912766.747303,-313.477,-36.133,-98.145,-93.750
1789912766.750854,-310.059,-35.156,-99.609,-97.656
1789912766.754405,-299.805,-38.086,-102.051,-99.121
1789912766.760654,-290.039,-39.062,-101.074,-92.285
1789912766.764221,-296.875,-41.504,-101.074,-93.750
1789912766.767788,-290.039,-42.969,-101.562,-89.844
1789912766.771355,-264.160,-43.457,-103.516,-80.078
1789912766.774921,-253.906,-38.574,-101.074,-83.008
1789912766.778488,-253.906,-35.645,-95.215,-86.914
1789912766.782055,-239.746,-35.156,-94.727,-80.078
1789912766.785622,-230.957,-35.645,-100.098,-84.473
1789912766.789189,-224.121,-37.598,-96.191,-82.520
1789912766.792756,-210.449,-34.668,-87.402,-71.777
1789912766.796323,-210.938,-36.133,-95.703,-87.891
1789912766.799890,-215.332,-38.086,-97.656,-86.914
1789912766.805890,-208.984,-42.969,-95.215,-72.754
1789912766.809470,-203.125,-47.363,-95.215,-78.125
1789912766.813050,-207.031,-47.852,-89.355,-88.867
1789912766.816631,-200.195,-46.875,-88.867,-74.219
1789912766.820211,-182.129,-48.340,-94.238,-68.359
1789912766.823792,-167.969,-51.270,-95.703,-76.172
1789912766.827372,-166.504,-45.898,-93.262,-78.125
1789912766.830952,-177.246,-46.875,-92.285,-75.684
1789912766.834533,-174.316,-56.152,-92.285,-59.082
1789912766.838113,-174.805,-55.664,-90.820,-48.340
1789912766.841694,-172.363,-52.734,-87.891,-67.871
1789912766.845274,-161.133,-52.734,-85.449,-83.984
1789912766.851169,-152.832,-50.293,-82.520,-78.613
1789912766.854762,-144.043,-47.852,-84.473,-75.195
1789912766.858354,-144.043,-42.969,-84.473,-69.824
1789912766.861947,-142.090,-41.504,-83.984,-73.730
1789912766.865539,-140.625,-44.434,-82.031,-71.289
1789912766.869132,-122.070,-39.551,-79.102,-62.988
1789912766.872724,-112.305,-35.156,-75.195,-57.129
1789912766.876317,-130.859,-40.039,-72.754,-52.734
1789912766.879909,-124.512,-40.039,-70.801,-46.875
1789912766.883502,-106.445,-37.109,-69.824,-41.992
1789912766.887094,-104.004,-40.527,-69.336,-46.875
1789912766.890687,-110.840,-35.156,-59.082,-47.363
1789912766.896455,-113.770,-31.738,-56.152,-41.504
1789912766.900058,-97.656,-27.344,-55.664,-45.898
1789912766.903661,-87.402,-26.855,-52.734,-40.527
1789912766.907264,-86.914,-28.320,-55.176,-32.227
1789912766.910867,-78.613,-23.438,-52.734,-35.156
1789912766.914470,-77.637,-22.949,-47.852,-19.531
1789912766.918073,-71.777,-19.531,-42.969,-4.883
1789912766.921676,-55.664,-19.043,-41.992,-9.766
1789912766.925280,-62.500,-15.625,-38.574,-3.906
1789912766.928883,-63.477,-5.371,-28.809,3.906
1789912766.932486,-36.621,0.977,-27.344,9.766
1789912766.936089,-26.855,1.953,-28.320,6.348
1789912766.943181,-48.828,5.859,-26.367,-13.184
1789912766.946801,-37.109,8.301,-21.484,-21.973
