second,EI,EI_smooth10,FAA,FAA_smooth10,blinks,BPM_smooth10
1,,,,,1,
2,0.377095,,1.217912,,0,
3,0.728340,,-0.410471,,0,
4,0.374154,,-0.242686,,0,
5,0.320501,,-0.981957,,0,
6,0.361810,,0.543094,,0,
7,,,,,1,
8,0.368014,,-0.592199,,0,
9,0.174736,,0.531254,,0,
10,0.245373,0.368753,-0.348354,-0.035426,0,12
11,0.255470,0.356166,1.525690,0.138032,0,6
12,0.356178,0.353842,0.577836,0.066912,0,6
13,0.335963,0.310244,0.550474,0.173684,0,6
14,0.774631,0.354742,0.320247,0.236232,0,6
15,,0.359022,,0.388505,1,12
16,,0.358624,,0.366421,0,12
17,0.516082,0.378306,1.768609,0.541695,0,6
18,0.269666,0.366012,-1.029369,0.487048,0,6
19,0.562758,0.414515,-0.126953,0.404772,0,6
20,0.360882,0.428954,0.144817,0.466419,0,6
21,0.255551,0.428964,0.802859,0.376065,0,6
22,0.191451,0.408373,0.487735,0.364802,0,6
23,,0.418717,,0.338278,1,12
24,,0.359398,,0.341283,1,18
25,0.183345,0.334248,-0.241239,0.258066,0,12
26,0.283461,0.327899,-0.081252,0.215651,0,12
27,0.392844,0.312495,1.943322,0.237490,0,12
28,0.163337,0.299204,-1.266376,0.207864,0,12
29,0.172556,0.250428,0.176854,0.245840,0,12
30,0.475371,0.264740,1.899978,0.465235,0,12
31,,0.266052,,0.417003,0,12
32,,0.278486,,0.405215,2,24
33,,0.278486,,0.405215,1,24
34,0.082548,0.250495,0.718332,0.449946,0,18
35,0.229950,0.257152,0.380918,0.538825,0,18
36,,0.252768,,0.642171,1,24
37,,0.224752,,0.381941,0,24
38,0.889803,0.370046,-0.020772,0.631062,0,24
39,0.416366,0.418807,-0.223966,0.550898,0,24
40,0.814497,0.486633,0.082460,0.187394,0,24
41,0.407808,0.473495,-0.425645,0.085221,0,24
42,0.097807,0.419826,0.322868,0.119171,0,12
43,,0.419826,,0.119171,1,12
44,0.286740,0.448996,-0.102058,0.001972,0,12
45,0.298077,0.458728,-0.597824,-0.137848,0,12
46,,0.458728,,-0.137848,0,6
47,,0.458728,,-0.137848,1,12
48,,0.386883,,-0.157361,1,18
49,0.269191,0.362353,0.773922,0.008954,0,18
50,0.525114,0.314123,0.087726,0.009831,0,18
51,0.486121,0.327175,0.181082,0.110953,0,18
52,,0.373048,,0.068569,1,24
53,,0.373048,,0.068569,0,18
54,,0.394625,,0.111226,0,18
55,,0.426808,,0.347576,1,24
56,0.424281,0.426176,1.393093,0.608956,0,24
57,0.244422,0.389826,1.756606,0.838486,0,18
58,,0.389826,,0.838486,0,12
59,,0.419984,,0.854627,1,18
60,,0.384941,,1.110260,1,24
61,0.327889,0.332197,0.073184,1.074294,0,24
62,0.485913,0.370626,0.176551,0.849859,0,18
63,0.523456,0.401192,0.072578,0.694403,0,18
64,,0.401192,,0.694403,1,24
65,,0.401192,,0.694403,1,24
66,0.333998,0.383136,-0.990603,0.217663,0,24
67,0.368317,0.407915,0.758936,0.018129,0,24
68,,0.407915,,0.018129,1,30
69,0.142072,0.363608,2.005274,0.349320,0,24
70,0.358341,0.362855,0.000847,0.299538,0,18
71,0.572232,0.397761,0.469920,0.356215,0,18
72,0.239130,0.362507,-0.255629,0.294475,0,18
73,,0.335682,,0.331458,1,24
74,0.216848,0.318706,0.691434,0.382883,0,18
75,0.387296,0.327279,-0.208473,0.308963,0,12
76,,0.326319,,0.494616,1,18
77,0.285448,0.314481,1.730393,0.633395,0,18
78,,0.314481,,0.633395,1,18
79,,0.343216,,0.404749,1,24
80,,0.340191,,0.485529,1,30
81,0.308468,0.287438,-0.163064,0.358932,0,30
82,0.496487,0.338909,2.031446,0.816347,0,30
83,0.248564,0.323852,0.202983,0.714120,0,24
84,0.249847,0.329352,0.487188,0.680079,0,24
85,,0.317763,,0.857789,0,24
86,,0.317763,,0.857789,1,24
87,0.243573,0.309388,-0.154717,0.480767,0,24
88,,0.309388,,0.480767,1,24
89,0.899907,0.407808,0.265098,0.444822,0,18
90,,0.407808,,0.444822,2,24
91,,0.427676,,0.566399,0,24
92,0.405535,0.409485,0.156671,0.191444,0,24
93,0.978557,0.555484,1.115401,0.373928,0,24
94,0.157453,0.537005,0.362942,0.349079,0,24
95,,0.537005,,0.349079,0,24
96,,0.537005,,0.349079,2,30
97,0.318634,0.552017,1.371466,0.654316,0,30
98,0.681059,0.573524,0.854916,0.687749,0,24
99,0.317612,0.476475,-0.556124,0.550879,0,24
100,,0.476475,,0.550879,1,18
101,0.152127,0.430140,0.584841,0.555730,0,18
102,,0.434240,,0.622240,1,24
103,,0.325377,,0.523608,1,30
104,,0.367358,,0.563775,1,36
105,0.411316,0.376150,-0.406722,0.369675,0,36
106,0.434273,0.385837,1.002275,0.475109,0,24
107,0.241302,0.372948,1.141350,0.436756,0,24
108,,0.311326,,0.353124,0,24
109,,0.309754,,0.580436,1,30
110,,0.309754,,0.580436,2,36
111,0.249673,0.334141,0.614173,0.587769,0,36
112,,0.334141,,0.587769,1,36
113,0.260191,0.319351,0.623022,0.594820,0,30
114,0.214048,0.301800,0.889125,0.643871,0,24
115,0.199208,0.266449,1.220878,0.915137,0,24
116,,0.232884,,0.897710,2,36
117,,0.230780,,0.836800,0,36
118,,0.230780,,0.836800,1,42
119,,0.230780,,0.836800,1,42
120,,0.230780,,0.836800,0,30
121,,0.224482,,0.911008,0,30
122,,0.224482,,0.911008,1,30
123,,,,,1,36
124,,,,,1,42
125,0.375372,,-0.069392,,0,42
126,0.609841,,0.469136,,0,30
127,0.320915,0.435376,1.806067,0.735270,0,30
128,0.445411,0.437885,0.167024,0.593209,0,24
129,0.249504,0.400208,0.880568,0.650680,0,18
130,,0.400208,,0.650680,1,24
131,0.315684,0.386121,0.629020,0.647070,0,24
132,,0.386121,,0.647070,0,18
133,,0.386121,,0.647070,1,18
134,0.317752,0.376354,0.747401,0.661403,0,12
135,,0.376518,,0.783202,0,12
136,,0.329853,,0.846016,1,18
137,0.638155,0.393301,-0.350611,0.414680,0,18
138,0.329755,0.370170,0.180973,0.417470,0,18
139,0.373975,0.395064,0.714853,0.384327,0,18
140,,0.395064,,0.384327,1,18
141,0.787351,0.489397,-0.531524,0.152218,0,18
142,0.273193,0.453363,-0.433698,0.054566,0,18
143,0.266458,0.426663,1.831333,0.308390,0,12
144,0.074336,0.391889,1.712457,0.446255,0,12
145,0.675172,0.427299,0.922572,0.505794,0,12
146,0.468433,0.431870,0.840396,0.542972,0,6
147,0.211078,0.384417,1.695686,0.770339,0,6
148,,0.391249,,0.844009,1,12
149,0.578661,0.416835,0.001159,0.754798,0,12
150,,0.416835,,0.754798,0,6
151,,0.363904,,0.938558,1,12
152,0.311319,0.369351,-0.457556,0.935150,0,12
153,1.100330,0.488476,0.468614,0.740475,0,12
154,0.064498,0.487070,0.449041,0.559987,0,12
155,0.366616,0.442991,-0.202957,0.399197,0,12
156,0.522540,0.450720,0.913094,0.409583,0,12
157,0.228491,0.453208,-1.393689,-0.031756,0,12
158,0.339919,0.439047,2.699109,0.309602,0,6
159,0.314271,0.405998,0.246410,0.340258,0,6
160,0.403299,0.405698,0.247459,0.329947,0,6
161,,0.405698,,0.329947,1,6
162,,0.417495,,0.428385,0,6
163,0.186119,0.303219,2.798317,0.719598,0,6
164,,0.337322,,0.758249,0,6
165,,0.332440,,0.918450,2,18
166,0.394220,0.311053,1.006057,0.933944,0,18
167,0.345571,0.330566,0.357383,1.225789,0,18
168,0.148810,0.298715,-1.062280,0.598891,0,18
169,0.189495,0.277919,0.677128,0.670677,0,18
170,,0.252843,,0.755321,1,24
171,,0.252843,,0.755321,0,18
172,,0.252843,,0.755321,1,24
173,0.239763,0.263572,-0.360456,0.123566,0,24
174,,0.263572,,0.123566,1,30
175,0.305957,0.270636,-0.803250,-0.030903,0,18
176,0.099204,0.221467,0.293548,-0.149655,0,18
177,,0.196646,,-0.251062,1,24
178,0.343286,0.235541,0.743793,0.110153,0,24
179,0.366201,0.270882,-0.273575,-0.079988,0,24
180,,0.270882,,-0.079988,1,24
181,0.439469,0.298980,-0.031788,-0.071955,0,24
182,0.372683,0.309509,0.549011,0.016755,0,18
183,,0.321133,,0.079623,0,18
184,,0.321133,,0.079623,1,18
185,0.366020,0.331144,0.876097,0.359514,0,18
186,0.470572,0.393038,0.182369,0.340984,0,18
187,0.606279,0.423501,1.396341,0.491750,0,12
188,,0.436871,,0.449742,0,12
189,,0.451005,,0.594406,1,18
190,,0.451005,,0.594406,3,30
191,,0.453888,,0.750954,1,36
192,0.351387,0.448564,0.856118,0.827731,0,36
193,0.444343,0.447720,-0.245762,0.613033,0,36
194,,0.447720,,0.613033,1,36
195,0.263332,0.427182,-0.175963,0.402621,0,36
196,0.296649,0.392398,1.120522,0.590251,0,36
197,,0.338928,,0.388729,1,42
198,1.221408,0.515424,0.288681,0.368719,0,42
199,,0.515424,,0.368719,0,36
200,,0.515424,,0.368719,2,30
201,0.346231,0.487225,0.145574,0.331528,0,24
202,,0.514393,,0.226610,1,30
203,,0.531905,,0.344703,2,42
204,,0.531905,,0.344703,1,42
205,0.365077,0.557341,-0.205512,0.337316,0,42
206,0.386650,0.579841,0.955072,0.295954,0,42
207,,0.579841,,0.295954,0,36
208,,0.365986,,0.298378,2,48
209,,0.365986,,0.298378,0,48
210,0.894095,0.498013,0.802307,0.424360,0,36
211,,0.548607,,0.517289,1,42
212,,0.548607,,0.517289,1,42
213,,0.548607,,0.517289,0,30
214,,0.548607,,0.517289,1,30
215,0.243534,0.508093,-1.872281,-0.038301,0,30
216,0.622690,0.586773,0.651309,-0.139555,0,30
217,0.398849,0.539792,-0.026382,-0.111262,0,30
218,0.162529,0.464339,2.597758,0.430542,0,18
219,0.277426,0.433187,0.819478,0.495365,0,18
220,,0.341006,,0.433977,1,24
221,0.378414,0.347240,2.189800,0.726614,0,18
222,0.088758,0.310314,0.887902,0.749655,0,12
223,0.409196,0.322675,0.411537,0.707390,0,12
224,,0.322675,,0.707390,2,18
225,,0.333980,,1.075915,0,18
226,0.590408,0.329369,-0.365739,0.930622,0,18
227,0.356514,0.323321,1.365772,1.129501,0,18
228,,0.350119,,0.884792,0,18
229,,0.364658,,0.897855,1,24
230,0.540214,0.393917,-0.444262,0.674169,0,18
231,0.360890,0.390997,1.498525,0.558956,0,18
232,0.474891,0.455352,0.485514,0.491891,0,18
233,0.592442,0.485893,-0.370861,0.361492,0,18
234,,0.485893,,0.361492,1,12
235,,0.485893,,0.361492,1,18
236,,0.464990,,0.506938,1,24
237,0.344008,0.462489,0.678951,0.369573,0,24
238,,0.462489,,0.369573,2,36
239,,0.462489,,0.369573,0,30
240,,0.443058,,0.573032,0,30
241,,0.470447,,0.264535,1,36
242,0.564162,0.500204,2.491913,0.933334,0,36
243,,,,,1,42
244,,,,,0,36
245,0.358412,0.422194,1.420927,1.530597,0,30
246,0.312408,0.394747,1.209637,1.450357,0,24
247,0.356184,0.397791,0.046463,1.292235,0,24
248,0.272835,0.372800,0.823576,1.198503,0,12
249,0.434891,0.383149,1.409087,1.233601,0,12
250,0.585683,0.412082,0.451119,1.121817,0,12
251,,0.412082,,1.121817,1,12
252,,0.386735,,0.893468,1,18
253,,0.386735,,0.893468,0,12
254,,0.386735,,0.893468,1,18
255,0.476323,0.406387,-0.541113,0.566462,0,18
256,0.467308,0.432204,1.762482,0.658602,0,18
257,0.451933,0.448162,0.667627,0.762130,0,18
258,0.253878,0.445003,1.433315,0.863753,0,18
259,,0.447025,,0.754686,1,24
260,0.323500,0.394589,0.312254,0.726913,0,24
261,,0.394589,,0.726913,1,24
262,,0.394589,,0.726913,0,18
263,0.604251,0.429532,-0.581832,0.508789,0,18
264,0.634610,0.458829,-1.150030,0.271815,0,12
265,0.701225,0.490958,-0.711970,0.247407,0,12
266,0.364497,0.476271,0.634174,0.086220,0,12
267,0.370232,0.464599,0.496892,0.061829,0,12
268,0.351709,0.478575,0.729465,-0.038721,0,12
269,,0.478575,,-0.038721,0,6
270,,0.504421,,-0.097217,1,12
271,0.807694,0.547745,0.527249,-0.008007,0,6
272,1.147350,0.622696,0.406207,0.043769,0,6
273,,0.625331,,0.133141,1,12
274,0.611390,0.622014,-0.599127,0.211841,0,12
275,,0.608812,,0.365810,1,18
276,0.528746,0.636187,-0.078520,0.247027,0,18
277,,0.689378,,0.197055,1,24
278,0.810363,0.781109,0.464540,0.144070,0,24
279,0.594955,0.750083,1.314032,0.339063,0,24
280,,0.750083,,0.339063,1,24
281,,0.738561,,0.301426,0,24
282,,0.636363,,0.275231,1,30
283,,0.636363,,0.275231,1,30
284,,0.644688,,0.566684,0,30
285,,0.644688,,0.566684,1,30
286,0.509396,0.638238,-0.380452,0.466040,0,30
287,,0.638238,,0.466040,1,30
288,,,,,1,36
289,,,,,0,36
290,,,,,1,36
291,,,,,0,36
292,,,,,1,36
293,0.233879,,0.993016,,0,30
294,0.525694,0.422990,-0.287287,0.108426,0,30
295,,0.422990,,0.108426,1,30
296,,,,,0,30
297,,,,,1,30
298,,,,,1,30
299,,,,,0,30
300,,,,,2,36
