second,EI,EI_smooth10,FAA,FAA_smooth10,blinks,BPM_smooth10
1,,,,,2,
2,,,,,1,
3,,,,,2,
4,,,,,1,
5,,,,,2,
6,,,,,1,
7,,,,,1,
8,,,,,0,
9,,,,,1,
10,,,,,2,78
11,,,,,1,72
12,,,,,1,72
13,,,,,2,72
14,,,,,0,66
15,,,,,1,60
16,,,,,1,60
17,,,,,1,60
18,,,,,0,60
19,,,,,1,60
20,,,,,1,54
21,,,,,1,54
22,,,,,1,54
23,,,,,1,48
24,,,,,1,54
25,,,,,2,60
26,,,,,1,60
27,,,,,2,66
28,,,,,0,66
29,,,,,0,60
30,,,,,1,60
31,,,,,1,60
32,,,,,1,60
33,,,,,1,60
34,,,,,1,60
35,,,,,1,54
36,,,,,1,54
37,,,,,1,48
38,,,,,1,54
39,,,,,2,66
40,,,,,1,66
41,,,,,1,66
42,,,,,1,66
43,,,,,1,66
44,,,,,1,66
45,,,,,1,66
46,,,,,1,66
47,,,,,1,66
48,,,,,1,66
49,,,,,1,60
50,,,,,2,66
51,,,,,1,66
52,,,,,1,66
53,,,,,1,66
54,,,,,2,72
55,,,,,1,72
56,,,,,1,72
57,,,,,1,72
58,,,,,1,72
59,,,,,1,72
60,,,,,0,60
61,,,,,2,66
62,,,,,0,60
63,0.149167,,-0.011456,,0,54
64,,,,,1,48
65,,,,,0,42
66,0.321436,,-0.061165,,0,36
67,,,,,1,36
68,,,,,2,42
69,,,,,0,36
70,,,,,1,42
71,,,,,1,36
72,0.171280,0.213961,-0.112046,-0.061556,0,36
73,,,,,1,42
74,,,,,0,36
75,,,,,1,42
76,,,,,1,48
77,,,,,1,48
78,,,,,1,42
79,,,,,2,54
80,,,,,1,54
81,,,,,1,54
82,,,,,1,60
83,,,,,1,60
84,,,,,1,66
85,,,,,1,66
86,,,,,1,66
87,,,,,0,60
88,,,,,1,60
89,,,,,1,54
90,,,,,1,54
91,,,,,0,48
92,,,,,1,48
93,,,,,1,48
94,,,,,1,48
95,0.162535,,-0.488717,,0,42
96,,,,,1,42
97,,,,,0,42
98,,,,,1,42
99,,,,,1,42
100,,,,,1,42
101,,,,,0,42
102,,,,,2,48
103,,,,,2,54
104,,,,,1,54
105,,,,,2,66
106,,,,,1,66
107,,,,,1,72
108,,,,,2,78
109,,,,,0,72
110,,,,,1,72
111,,,,,0,72
112,,,,,1,66
113,,,,,1,60
114,,,,,1,60
115,,,,,2,60
116,,,,,2,66
117,,,,,0,60
118,,,,,1,54
119,,,,,1,60
120,,,,,1,60
121,,,,,0,60
122,,,,,2,66
123,,,,,1,66
124,,,,,0,60
125,,,,,1,54
126,,,,,2,54
127,,,,,1,60
128,,,,,2,66
129,,,,,3,78
130,,,,,0,72
131,,,,,1,78
132,0.052566,,-0.007746,,0,66
133,,,,,1,66
134,,,,,2,78
135,,,,,1,78
136,,,,,2,78
137,,,,,0,72
138,,,,,1,66
139,,,,,1,54
140,,,,,1,60
141,,,,,1,60
142,,,,,1,66
143,,,,,1,66
144,,,,,1,60
145,1.067899,,-0.042891,,0,54
146,0.145966,,-0.479711,,0,42
147,,,,,0,42
148,,,,,2,48
149,,,,,0,42
150,,,,,1,42
151,1.141574,0.785146,-1.430395,-0.650999,0,36
152,0.174641,0.632520,-0.202485,-0.538870,0,30
153,,0.632520,,-0.538870,1,30
154,,0.632520,,-0.538870,0,24
155,,0.487394,,-0.704197,1,30
156,,,,,1,36
157,,,,,2,48
158,,,,,0,36
159,,,,,1,42
160,,,,,0,36
161,,,,,2,48
162,,,,,1,54
163,0.136151,,-0.973859,,0,48
164,,,,,1,54
165,,,,,1,54
166,,,,,2,60
167,,,,,1,54
168,,,,,0,54
169,,,,,1,54
170,,,,,1,60
171,,,,,1,54
172,,,,,2,60
173,,,,,0,60
174,,,,,1,60
175,,,,,1,60
176,,,,,0,48
177,0.093468,,0.709680,,0,42
178,,,,,1,48
179,,,,,1,48
180,,,,,2,54
181,0.545944,,1.471464,,0,48
182,0.131432,0.256948,-0.600058,0.527029,0,36
183,,0.256948,,0.527029,1,42
184,,0.256948,,0.527029,1,42
185,,0.256948,,0.527029,1,42
186,0.125307,0.224038,0.341152,0.480560,0,42
187,,0.267561,,0.404186,2,54
188,,0.267561,,0.404186,2,60
189,,0.267561,,0.404186,1,60
190,0.081400,0.221021,0.218216,0.357694,0,48
191,,0.112713,,-0.013563,0,48
192,,,,,1,54
193,,,,,1,54
194,,,,,1,54
195,0.112648,0.106452,0.636273,0.398547,0,48
196,,,,,1,54
197,,,,,1,48
198,0.159120,0.117723,0.108013,0.320834,0,36
199,,0.117723,,0.320834,1,36
200,,,,,1,42
201,,,,,1,48
202,0.129875,0.133881,0.080992,0.275093,0,42
203,0.141535,0.135795,-0.668275,0.039251,0,36
204,,0.135795,,0.039251,1,36
205,,0.143510,,-0.159757,1,42
206,,0.143510,,-0.159757,1,42
207,,0.143510,,-0.159757,1,42
208,,,,,1,48
209,,,,,2,54
210,,,,,1,54
211,,,,,1,54
212,,,,,2,66
213,,,,,1,72
214,,,,,1,72
215,,,,,2,78
216,,,,,1,78
217,,,,,2,84
218,,,,,1,84
219,,,,,1,78
220,,,,,1,78
221,,,,,2,84
222,,,,,1,78
223,,,,,1,78
224,,,,,0,72
225,,,,,1,66
226,,,,,2,72
227,,,,,1,66
228,,,,,0,60
229,,,,,2,66
230,,,,,1,66
231,,,,,2,66
232,,,,,1,66
233,,,,,2,72
234,,,,,1,78
235,,,,,1,78
236,0.119279,,-0.469171,,0,66
237,,,,,2,72
238,,,,,1,78
239,,,,,1,72
240,,,,,1,72
241,0.483766,,0.023051,,0,60
242,,,,,2,66
243,,,,,1,60
244,,,,,1,60
245,,,,,1,60
246,0.085727,,-1.062263,,0,60
247,,,,,0,48
248,,,,,2,54
249,,,,,1,54
250,,,,,1,54
251,,,,,2,66
252,,,,,2,66
253,,,,,2,72
254,,,,,0,66
255,,,,,1,66
256,,,,,1,72
257,,,,,1,78
258,,,,,2,78
259,,,,,0,72
260,,,,,2,78
261,,,,,1,72
262,,,,,1,66
263,0.109721,,0.479132,,0,54
264,,,,,1,60
265,,,,,1,60
266,,,,,1,60
267,,,,,1,60
268,,,,,2,60
269,,,,,1,66
270,,,,,0,54
271,,,,,1,54
272,,,,,1,54
273,,,,,1,60
274,,,,,1,60
275,0.062333,,-0.341133,,0,54
276,,,,,1,54
277,,,,,1,54
278,,,,,2,54
279,,,,,2,60
280,,,,,0,60
281,,,,,2,66
282,,,,,1,66
283,,,,,1,66
284,,,,,1,66
285,,,,,2,78
286,,,,,1,78
287,,,,,2,84
288,,,,,1,78
289,,,,,1,72
290,,,,,2,84
291,,,,,1,78
292,,,,,1,78
293,,,,,1,78
294,,,,,0,72
295,,,,,2,72
296,,,,,0,66
297,,,,,2,66
298,,,,,0,60
299,0.307674,,0.092741,,0,54
300,,,,,1,48
