second,EI,EI_smooth10,FAA,FAA_smooth10,blinks,BPM_smooth10
1,,,,,1,
2,0.196770,,0.164615,,0,
3,0.306083,,0.321710,,0,
4,,,,,1,
5,,,,,1,
6,0.138565,,0.272847,,0,
7,0.185408,,1.157128,,0,
8,0.095218,,-0.702294,,0,
9,,,,,1,
10,,0.184409,,0.242801,1,30
11,0.051321,0.162227,0.445153,0.276527,0,24
12,0.363444,0.190006,2.040928,0.589245,0,24
13,,0.166791,,0.642752,1,30
14,,0.166791,,0.642752,1,30
15,,0.166791,,0.642752,0,24
16,,0.173848,,0.735229,1,30
17,0.500849,0.252708,0.064905,0.462173,0,30
18,0.087524,0.250784,-0.218999,0.582997,0,30
19,,0.250784,,0.582997,1,30
20,0.391845,0.278997,-1.047252,0.256947,0,24
21,0.267250,0.322182,2.078102,0.583537,0,24
22,,0.311867,,0.219189,0,24
23,,0.311867,,0.219189,2,30
24,,0.311867,,0.219189,2,36
25,,0.311867,,0.219189,0,36
26,,0.311867,,0.219189,1,36
27,,0.248873,,0.270617,1,42
28,,,,,2,54
29,0.300863,0.319986,1.729451,0.920100,0,48
30,0.215284,0.261132,0.990871,1.599475,0,48
31,0.057749,0.191299,-0.509248,0.737025,0,48
32,,0.191299,,0.737025,1,54
33,,0.191299,,0.737025,1,48
34,,0.191299,,0.737025,0,36
35,,0.191299,,0.737025,1,42
36,,0.191299,,0.737025,0,36
37,,0.191299,,0.737025,1,36
38,,0.191299,,0.737025,1,30
39,,,,,0,30
40,,,,,1,36
41,,,,,1,42
42,,,,,1,42
43,,,,,0,36
44,,,,,1,42
45,,,,,1,42
46,0.394661,,0.322214,,0,42
47,,,,,1,42
48,,,,,1,42
49,,,,,1,48
50,,,,,0,42
51,,,,,1,42
52,0.485171,,1.200501,,0,36
53,0.442497,0.440776,0.668150,0.730289,0,36
54,0.134936,0.364316,-1.400547,0.197580,0,30
55,0.203609,0.332175,1.214142,0.400892,0,24
56,,0.316553,,0.420562,0,24
57,,0.316553,,0.420562,1,24
58,,0.316553,,0.420562,1,24
59,,0.316553,,0.420562,0,18
60,0.165683,0.286379,0.136831,0.363815,0,18
61,0.284153,0.286008,0.955688,0.462461,0,12
62,,0.246176,,0.314853,1,18
63,,0.197096,,0.226529,1,24
64,,0.217815,,0.768887,1,30
65,,,,,0,30
66,,,,,1,36
67,,,,,0,30
68,,,,,1,30
69,0.334732,0.261523,-0.095764,0.332252,0,30
70,,,,,1,36
71,,,,,0,36
72,0.147274,,1.329832,,0,30
73,,,,,1,30
74,,,,,0,24
75,,,,,2,36
76,,,,,1,36
77,0.286179,0.256061,1.132097,0.788722,0,36
78,,0.256061,,0.788722,2,42
79,,,,,1,48
80,0.131707,0.188387,0.115540,0.859156,0,42
81,,0.188387,,0.859156,1,48
82,,,,,1,54
83,,,,,1,54
84,0.190674,0.202853,0.381655,0.543098,0,54
85,,0.202853,,0.543098,1,48
86,,0.202853,,0.543098,1,48
87,,,,,1,54
88,,,,,0,42
89,0.194624,0.172335,-0.474090,0.007702,0,36
90,,,,,1,42
91,0.093223,0.159507,0.445883,0.117816,0,36
92,0.456150,0.233668,0.417265,0.192678,0,30
93,0.192065,0.225347,0.975402,0.349223,0,24
