second,EI,EI_smooth10,FAA,FAA_smooth10,blinks,BPM_smooth10
1,,,,,1,
2,0.225936,,0.106280,,0,
3,,,,,1,
4,0.525752,,0.638036,,0,
5,0.625217,,-0.333255,,0,
6,,,,,1,
7,0.304216,,1.585167,,0,
8,0.370787,,0.287662,,0,
9,,,,,1,
10,0.655032,0.451157,0.762682,0.507762,0,24
11,0.880540,0.512497,0.687080,0.533379,0,18
12,0.664448,0.575142,-0.793322,0.404864,0,18
13,0.403719,0.553714,0.112491,0.368318,0,12
14,,0.557709,,0.329787,1,18
15,0.667326,0.563724,1.364200,0.572280,0,18
16,0.494985,0.555132,0.550138,0.569512,0,12
17,0.113522,0.531295,-0.395185,0.321968,0,12
18,0.665407,0.568122,0.741828,0.378739,0,12
19,0.353708,0.544299,-0.344414,0.298389,0,6
20,0.360538,0.511577,0.200208,0.235892,0,6
21,,0.465457,,0.179493,0,6
22,,0.437029,,0.318467,1,12
23,0.427417,0.440415,0.701038,0.402545,0,12
24,0.378063,0.432621,0.331469,0.393660,0,6
25,0.117886,0.363941,0.803247,0.323541,0,6
26,0.356196,0.346592,0.849204,0.360924,0,6
27,0.469468,0.391085,0.388989,0.458946,0,6
28,,0.351897,,0.418534,0,6
29,,0.351595,,0.545692,1,12
30,0.670345,0.403229,0.381889,0.575972,0,12
31,0.709060,0.446919,1.387945,0.691969,0,12
32,,0.446919,,0.691969,1,12
33,,0.450170,,0.690457,0,12
34,0.148670,0.411937,0.583658,0.732489,0,12
35,0.185719,0.423243,-0.254851,0.556139,0,12
36,,0.436652,,0.497526,0,12
37,,0.428448,,0.524660,1,18
38,0.323198,0.407398,1.165379,0.652804,0,18
39,,0.407398,,0.652804,1,18
40,0.590545,0.391438,1.616597,0.899745,0,18
41,,0.312033,,0.777696,1,24
42,0.320549,0.313736,0.383280,0.698813,0,18
43,,0.313736,,0.698813,1,24
44,,0.355002,,0.727601,0,24
45,0.501527,0.433954,0.273910,0.859791,0,24
46,0.588270,0.464818,0.551519,0.798137,0,24
47,,0.464818,,0.798137,1,24
48,,0.500223,,0.706326,1,30
49,,0.500223,,0.706326,0,24
50,0.265993,0.419085,1.677736,0.721611,0,24
51,0.424707,0.420209,0.173416,0.611972,0,18
52,0.355726,0.427245,1.154187,0.766154,0,18
53,,0.427245,,0.766154,1,18
54,,0.427245,,0.766154,1,24
55,0.204679,0.367875,-0.140168,0.683338,0,24
56,,0.312776,,0.716293,1,30
57,0.194871,0.289195,0.796402,0.732315,0,24
58,0.609786,0.342627,0.757654,0.736538,0,18
59,,0.342627,,0.736538,0,18
60,,0.357954,,0.548298,1,24
61,0.370369,0.347086,0.179630,0.549541,0,24
62,0.147635,0.305468,0.236567,0.366017,0,24
63,,0.305468,,0.366017,1,24
64,,0.305468,,0.366017,0,18
65,,0.330665,,0.492563,1,24
66,,0.330665,,0.492563,1,24
67,,0.375930,,0.391284,1,30
68,,,,,0,30
69,0.236152,0.251386,0.184379,0.200192,0,30
70,0.390137,0.286073,-0.331663,0.067228,0,24
71,0.086409,0.215083,0.194027,0.070827,0,24
72,0.086330,0.199757,0.301015,0.086939,0,24
73,0.341236,0.228053,-0.246482,0.020255,0,18
74,,0.228053,,0.020255,1,24
75,0.375090,0.252559,0.534535,0.105968,0,18
76,0.217692,0.247578,1.284636,0.274350,0,12
77,,0.247578,,0.274350,2,18
78,,0.247578,,0.274350,1,24
79,,0.249482,,0.289345,0,24
80,,0.221351,,0.413546,1,30
81,,0.255087,,0.468426,2,42
82,,0.311339,,0.524230,0,42
83,0.644621,0.412467,1.008967,0.942713,0,42
84,0.495477,0.433220,1.099955,0.982023,0,36
85,,0.452596,,1.131186,1,42
86,,,,,0,42
87,0.437953,0.526017,-0.474900,0.544674,0,30
88,0.489357,0.516852,1.063639,0.674415,0,24
89,0.439702,0.501422,0.129756,0.565483,0,24
90,,0.501422,,0.565483,1,24
91,,0.501422,,0.565483,0,12
92,,0.501422,,0.565483,2,24
93,,0.465622,,0.454612,0,24
94,0.333401,0.425103,0.236239,0.238683,0,24
95,0.475384,0.435160,-1.444982,-0.098050,0,18
96,,0.435160,,-0.098050,1,24
97,0.646735,0.476916,1.054369,0.207804,0,24
98,,0.473806,,-0.006154,1,30
99,,0.485173,,-0.051458,1,36
100,0.569455,0.506244,-1.502690,-0.414266,0,30
101,,0.506244,,-0.414266,1,36
102,0.252408,0.455477,1.094957,-0.112421,0,24
103,0.168103,0.407581,-0.869551,-0.238610,0,24
104,0.519891,0.438663,-0.146430,-0.302388,0,24
105,,0.431318,,-0.073869,1,30
106,,0.431318,,-0.073869,1,30
107,,0.377464,,-0.355929,1,36
108,0.191396,0.340250,0.506982,-0.183347,0,30
109,0.131057,0.305385,-0.372834,-0.214928,0,24
110,0.048645,0.218583,-0.417390,-0.034045,0,24
111,0.671942,0.283349,0.197504,-0.000966,0,18
112,0.279545,0.287225,-0.718503,-0.260032,0,18
113,,0.307079,,-0.158445,1,24
114,0.165366,0.247992,-0.485852,-0.215016,0,24
115,,0.247992,,-0.215016,0,18
116,,0.247992,,-0.215016,1,18
117,0.191229,0.239883,-0.991759,-0.325979,0,12
118,0.137167,0.232136,0.035052,-0.393398,0,12
119,0.249874,0.249110,0.042011,-0.334134,0,12
120,0.182172,0.268185,1.609861,-0.044527,0,12
121,0.494834,0.242884,-1.485874,-0.285009,0,12
122,0.189594,0.230034,-0.453534,-0.247156,0,12
123,0.540526,0.268845,0.429713,-0.162548,0,6
