second,EI,EI_smooth10,FAA,FAA_smooth10,blinks,BPM_smooth10
1,,,,,2,
2,0.179309,,0.404070,,0,
3,0.247640,,-0.717901,,0,
4,,,,,1,
5,0.372729,,0.940962,,0,
6,0.262177,,0.164173,,0,
7,0.308911,,1.685332,,0,
8,,,,,0,
9,,,,,2,
10,0.198130,0.261483,-0.313252,0.360564,0,30
11,0.139651,0.244078,0.370529,0.361988,0,18
12,0.592050,0.303041,0.019851,0.307099,0,18
13,0.165918,0.291367,2.996936,0.837790,0,18
14,0.206914,0.280810,2.331990,1.024565,0,12
15,0.478247,0.294000,1.385426,1.080123,0,12
16,0.242312,0.291516,0.068885,1.068212,0,12
17,0.190824,0.276756,-0.556606,0.787970,0,12
18,0.192147,0.267355,-0.841817,0.606882,0,12
19,0.121831,0.252802,1.297549,0.675949,0,0
20,0.228863,0.255876,1.221297,0.829404,0,0
21,0.246140,0.266525,-0.870794,0.705272,0,0
22,0.201746,0.227494,1.534682,0.856755,0,0
23,0.168908,0.227793,0.695505,0.626612,0,0
24,0.294625,0.236564,0.134853,0.406898,0,0
25,0.164889,0.205228,0.401240,0.308479,0,0
26,0.084423,0.189440,0.809801,0.382571,0,0
27,0.390635,0.209421,-1.281690,0.310063,0,0
28,0.249088,0.215115,1.252318,0.519476,0,0
29,0.276472,0.230579,2.573599,0.647081,0,0
30,0.154595,0.223152,0.424314,0.567383,0,0
31,,0.220598,,0.727180,1,6
32,,0.222954,,0.626243,0,6
33,0.340671,0.244425,-0.280330,0.504263,0,6
34,,0.237253,,0.557036,1,12
35,,0.249314,,0.583002,0,12
36,0.237224,0.274781,2.274749,0.827160,0,12
37,0.249052,0.251184,0.601932,1.141097,0,12
38,0.173984,0.238666,0.435410,1.004946,0,12
39,,0.231105,,0.691215,1,18
40,0.262339,0.252654,0.141639,0.634680,0,18
41,0.345895,0.268194,1.180151,0.725592,0,12
42,0.098274,0.243920,-0.009368,0.620598,0,12
43,0.252774,0.231363,1.895824,0.931477,0,12
44,0.366436,0.248247,0.244419,0.845595,0,6
45,0.337329,0.258145,0.500767,0.807280,0,6
46,0.340593,0.269631,1.535162,0.725104,0,6
47,0.228609,0.267359,0.765482,0.743276,0,6
48,0.213797,0.271783,0.877580,0.792406,0,6
49,,0.271783,,0.792406,1,6
50,,0.272963,,0.873752,1,12
51,,0.262544,,0.829981,1,18
52,,0.289923,,0.969872,1,24
53,,0.297352,,0.784682,1,30
54,0.314086,0.286882,0.624346,0.860668,0,30
55,,0.274271,,0.950643,1,36
56,0.225919,0.245602,3.529582,1.449248,0,36
57,0.170424,0.231056,1.457237,1.622187,0,36
58,0.238835,0.237316,2.624972,2.059035,0,36
59,0.368764,0.263606,3.255867,2.298401,0,30
60,0.201784,0.253302,0.904610,2.066103,0,24
61,0.374488,0.270614,1.644720,2.005905,0,18
62,0.228156,0.265307,0.627584,1.833615,0,12
63,0.261697,0.264906,2.028979,1.855322,0,6
64,0.139152,0.245469,-0.016214,1.784149,0,6
65,0.434149,0.264337,2.757240,1.881458,0,0
66,0.146252,0.256370,1.009140,1.629414,0,0
67,0.128142,0.252142,0.674214,1.551111,0,0
68,0.267334,0.254992,0.915346,1.380149,0,0
69,0.349545,0.253070,0.449546,1.099517,0,0
70,0.231458,0.256037,-0.297177,0.979338,0,0
71,0.238540,0.242443,1.429908,0.957857,0,0
72,0.340989,0.253726,2.995771,1.194675,0,0
73,0.202924,0.247848,-0.969032,0.894874,0,0
74,0.163948,0.250328,0.444723,0.940968,0,0
75,0.280148,0.234928,0.701547,0.735399,0,0
76,0.313622,0.251665,1.820823,0.816567,0,0
77,0.223631,0.261214,0.932843,0.842430,0,0
78,0.463421,0.280823,0.943585,0.845254,0,0
79,0.250047,0.270873,2.362938,1.036593,0,0
80,0.272702,0.274997,1.798112,1.246122,0,0
81,0.263825,0.277526,1.944466,1.297578,0,0
82,0.174033,0.260830,1.017665,1.099767,0,0
83,,0.267264,,1.329634,1,6
84,,0.280179,,1.440247,0,6
