second,EI,EI_smooth10,FAA,FAA_smooth10,blinks,BPM_smooth10
1,,,,,1,
2,0.296213,,3.982055,,0,
3,,,,,1,
4,0.529426,,-0.247307,,0,
5,0.187809,,0.032211,,0,
6,0.424643,,1.363470,,0,
7,0.348689,,2.623245,,0,
8,0.460412,,0.842659,,0,
9,0.978193,,2.570658,,0,
10,0.345962,0.446418,2.151863,1.664857,0,12
11,0.419423,0.443419,0.523176,1.538003,0,6
12,,0.461820,,1.232497,1,12
13,,0.461820,,1.232497,1,12
14,,0.452161,,1.443897,0,12
15,,0.496220,,1.679179,1,18
16,0.448302,0.500163,0.511051,1.537109,0,18
17,0.350045,0.500389,-0.128916,1.078415,0,18
18,0.275568,0.469582,-0.121518,0.917719,0,18
19,0.554553,0.398975,0.355561,0.548536,0,18
20,,0.409578,,0.227871,1,24
21,,0.407117,,0.154045,1,30
22,,0.407117,,0.154045,0,24
23,,0.407117,,0.154045,0,18
24,,0.407117,,0.154045,1,24
25,,0.407117,,0.154045,1,24
26,0.559271,0.434859,1.669027,0.443539,0,24
27,,0.463131,,0.634357,1,30
28,,,,,0,30
29,,,,,1,36
30,0.234283,,1.561263,,0,30
31,,,,,1,30
32,,,,,0,30
33,,,,,1,36
34,0.213715,0.335756,0.699869,1.310053,0,30
35,0.103394,0.277665,1.217669,1.286957,0,24
36,,0.183797,,1.159600,0,24
37,,0.183797,,1.159600,1,24
38,0.257403,0.202198,1.813212,1.323003,0,24
39,,0.202198,,1.323003,1,24
40,0.368032,0.235636,-0.076172,0.913644,0,24
41,0.850793,0.358667,1.807032,1.092322,0,18
42,0.339340,0.355446,1.928655,1.231711,0,18
43,0.067273,0.314278,0.283987,1.096322,0,12
44,,0.331039,,1.162397,0,12
45,,0.376568,,1.151343,1,18
46,,0.376568,,1.151343,1,24
47,,0.376568,,1.151343,1,24
48,0.479568,0.421001,1.485124,1.085725,0,24
49,1.465104,0.595018,1.028151,1.076129,0,18
50,0.481406,0.613914,1.833661,1.394435,0,18
51,0.243004,0.512616,2.483498,1.507179,0,18
52,,0.547271,,1.422884,1,24
53,0.512351,0.636287,1.562436,1.678574,0,24
54,,0.636287,,1.678574,1,30
55,0.358539,0.589995,1.961370,1.725707,0,24
56,0.408993,0.564138,2.356588,1.815833,0,18
57,,0.564138,,1.815833,1,18
58,0.322453,0.541693,2.881527,2.015319,0,18
59,0.385482,0.387461,2.764354,2.263348,0,18
60,,0.371804,,2.334962,0,18
61,,0.397564,,2.305255,2,30
62,,0.397564,,2.305255,0,24
63,0.130737,0.321241,-0.441218,1.904524,0,24
64,0.069847,0.279342,2.455610,1.996372,0,18
65,0.376758,0.282378,0.624902,1.773627,0,18
66,0.375799,0.276846,2.617792,1.817161,0,18
67,0.576663,0.319677,1.804873,1.815406,0,12
68,0.110172,0.289351,0.511390,1.476815,0,12
69,,0.273329,,1.262225,1,18
70,,0.273329,,1.262225,0,18
71,0.423789,0.294824,2.387031,1.422911,0,6
72,0.541074,0.325605,0.850763,1.351393,0,6
73,0.236048,0.338769,2.657822,1.738773,0,6
74,,0.377186,,1.636368,0,6
